PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
892,0,3, Mr. James,male,34,0,0,330911,7.8292,Q
893,1,3, Mrs. James (Ellen Needs),female,47,1,0,363272,7.0,S
894,0,2, Mr. Thomas Francis,male,62,0,0,240276,9.6875,Q
895,0,3, Mr. Albert,male,27,0,0,315154,8.6625,S
896,1,3, Mrs. Alexander (Helga E Lindqvist),female,22,1,1,3101298,12.2875,S
897,0,3, Mr. Johan Cervin,male,14,0,0,7538,9.225,S
898,1,3, Miss. Kate,female,30,0,0,330972,7.6292,Q
899,0,2, Mr. Albert Francis,male,26,1,1,248738,29.0,S
900,1,3, Mrs. Joseph (Sophie Halaut Easu),female,18,0,0,2657,7.2292,C
901,0,3, Mr. John Samuel,male,21,2,0,A/4 48871,24.15,S
902,0,3, Mr. Ylio,male,30,0,0,349220,7.8958,S
903,0,1, Mr. Charles Cresson,male,46,0,0,694,26.0,S
904,1,1, Mrs. John Pillsbury (Nelle Stevenson),female,23,1,0,21228,82.2667,S
905,0,2, Mr. Benjamin,male,63,1,0,24065,26.0,S
906,1,1, Mrs. Herbert Fuller (Carrie Constance Toogood),female,47,1,0,W.E.P. 5734,61.175,S
907,1,2, Mrs. Sebastiano (Argenia Genovesi),female,24,1,0,SC/PARIS 2167,27.7208,C
908,0,2, Mr. Daniel,male,35,0,0,233734,12.35,Q
909,0,3, Mr. Gerios,male,21,0,0,2692,7.225,C
910,1,3, Miss. Ida Livija,female,27,1,0,STON/O2. 3101270,7.925,S
911,1,3," Mrs. Mariana (Miriam"")""",female,45,0,0,2696,7.225,C
912,0,1, Mr. Martin,male,55,1,0,PC 17603,59.4,C
913,0,3, Master. Artur Karl,male,9,0,1,C 17368,3.1708,S
914,1,1, Mrs. Alfred (Antoinette),female,30,0,0,PC 17598,31.6833,S
915,0,1, Mr. Richard Norris II,male,21,0,1,PC 17597,61.3792,C
916,1,1, Mrs. Arthur Larned (Emily Maria Borie),female,48,1,3,PC 17608,262.375,C
917,0,3, Mr. Alexander A,male,50,1,0,A/5. 3337,14.5,S
918,1,1, Miss. Helene Ragnhild,female,22,0,1,113509,61.9792,C
919,0,3, Mr. Shedid,male,22,0,0,2698,7.225,C
920,0,1, Mr. John Bertram,male,41,0,0,113054,30.5,S
921,0,3, Mr. Elias,male,30,2,0,2662,21.6792,C
922,0,2, Mr. Charles Alexander,male,50,1,0,SC/AH 3085,26.0,S
923,0,2, Mr. Clifford Thomas,male,24,2,0,C.A. 31029,31.5,S
924,1,3, Mrs. Bertram (Eva Georgetta Light),female,33,1,2,C.A. 2315,20.575,S
925,1,3," Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,30,1,2,W./C. 6607,23.45,S
926,0,1, Mr. Philipp Edmund,male,30,1,0,13236,57.75,C
927,0,3," Mr. Vassilios (Catavelas Vassilios"")""",male,18,0,0,2682,7.2292,C
928,1,3, Miss. Sarah A,female,30,0,0,342712,8.05,S
929,1,3, Miss. Manda,female,21,0,0,315087,8.6625,S
930,0,3, Mr. Julius,male,25,0,0,345768,9.5,S
931,0,3, Mr. Ling,male,30,0,0,1601,56.4958,S
932,0,3, Mr. Franz,male,39,0,1,349256,13.4167,C
933,0,1, Mr. Thomas Parham,male,30,0,0,113778,26.55,S
934,0,3, Mr. Nathan,male,41,0,0,SOTON/O.Q. 3101263,7.85,S
935,1,2, Mrs. Walter H (Irene Colvin),female,30,0,0,237249,13.0,S
936,1,1, Mrs. Edwin Nelson Jr (Gertrude Parsons),female,45,1,0,11753,52.5542,S
937,0,3, Mr. Nikolai Johannes,male,25,0,0,STON/O 2. 3101291,7.925,S
938,0,1, Mr. Paul Romaine,male,45,0,0,PC 17594,29.7,C
939,0,3, Mr. Patrick,male,30,0,0,370374,7.75,Q
940,1,1, Mrs. William Robert (Emma Eliza Ward),female,60,0,0,11813,76.2917,C
